icpc2ChapterId;icpc2Code;descriptionNL
18;*33.99;IgE faeces parkieten dosering
18;*33.95;IgE timotheegras dosering
18;*33.96;IgE cacao dosering
18;*33.97;IgE lepidogl.destructor dosering
18;*33.98;IgE garnaal dosering
18;*51.30;blaaspunctie
18;*51.32;incisie / drainage klier Bartolin
18;*51.31;hydramnion punctie
;;angst voor andere ziekte bloed/lymfestelsel
2;B26;angst voor kanker bloed/lymfestelsel
2;B25;angst voor AIDS/HIV
17;Z04;sociaal-cultureel probleem
17;Z05;probleem met werk
2;B29;andere symptomen/klachten lymfestelsel/immuunsysteem
17;Z02;probleem met voedsel/water
2;B28;functiebeperking/handicap (B)
17;Z03;probleem met huisvesting/buurt
18;*51.34;punctie Douglasholte of parametrium
18;*51.33;incisie perineum abces
17;Z01;armoede/financieel probleem
18;*51.35;punctie hydrocele
17;Z07;probleem met opleiding
17;Z06;probleem met werkloosheid
17;Z09;juridisch probleem
17;Z08;probleem met sociale zekerheid
;;infectieziekte cardiovasculair stelsel
6;K73;aangeboren afwijking cardiovasculair stelsel
6;K72;neoplasma cardiovasculair stelsel
17;Z13;probleem met gedrag van partner
17;Z14;probleem met ziekte van partner
17;Z15;verlies/overlijden van partner
17;Z16;relatieprobleem met kind
18;*67.97;hospitalisatie endocriene chirurgie
18;*67.96;hospitalisatie diabetologie
17;Z10;probleem met gezondheidszorg
18;*67.99;verwijzing uroloog
;;decompensatio cordis
17;Z11;probleem met ziek zijn/acceptatie ziekte
18;*67.98;verwijzing nefroloog
;;relatieprobleem met partner
18;*44.19;vaccinatie hepatitis A en B
18;*44.16;vaccinatie typhus
18;*44.15;vaccinatie bof
18;*44.18;vaccinatie Hepatitis B
18;*44.17;vaccinatie hepatitis A
18;*44.12;vaccinatie rabies
18;*44.11;vaccinatie poliomyelitis
18;*44.14;vaccinatie cholera
18;*44.13;vaccinatie Meningococcen C meningitis
18;*44.10;vaccinatie tetanus
18;*44.09;vaccinatie varicella
18;*44.08;vaccinatie mazelen bof rubella
18;*44.07;vaccinatie gele koorts
18;*44.06;vaccinatie Haemophilus
18;*44.05;vaccinatie di-te-per, polio, HIB, Hep B
18;*44.04;vaccinatie difterie, tetanus, kinkhoest, polio
18;*44.03;vaccinatie difterie, tetanus, polio
18;*44.02;vaccinatie Di-Te-Per
18;*44.01;vaccinatie Di-Te
;;acute lymphadenitis
;;andere maligniteit bloed/lymfestelsel
2;B73;leukemie
18;*33.59;Helicobacter pylori AL dosering
